,Symbol,Description,OrderID,Quantity,Action,Exchange,Side,Price,News
706,GOOG,Alphabet Class C,3144,865000,M,3,B,795.69,0
707,GOOGL,Alphabet Class A,1245,518000,M,1,S,815.39,0
708,HSIC,Henry Schein Inc,2146,208000,M,2,B,159.92,0
709,ILMN,Illumina Inc,1147,389000,M,1,B,161.65,0
710,INCY,Incyte Corp,1248,755000,M,1,S,124.45,0
711,INTC,Intel Corp,2149,239000,M,2,B,34.03,0
712,INTU,Intuit Inc,1150,404000,M,1,B,124.65,0
713,ISRG,Intuitive Surgical Inc,2151,120000,M,2,B,697.06,0
714,AAL,American Airlines Group Inc,1101,997000,M,1,B,43.91,0
715,AAPL,Apple Inc,2202,368000,M,2,S,124.85,100
716,ADBE,Adobe Systems Inc,3103,821000,M,3,B,113.46,0
717,ADI,Analog Devices Inc,3104,395000,M,3,B,76.22,0
718,ADP,Automatic Data Processing Inc,3205,144000,M,3,S,95.35,0
719,ADSK,Autodesk Inc,3106,237000,M,3,B,81.25,100
720,AKAM,Akamai Technologies Inc,2107,966000,M,2,B,68.68,0
721,ALXN,Alexion Pharmaceuticals Inc,3108,630000,M,3,B,132.21,0
722,AMAT,Applied Materials Inc,3109,103000,M,3,B,35.05,0
723,AMGN,Amgen Inc,1210,861000,M,1,S,160.37,0
724,AMZN,Amazon.com Inc,3211,115000,M,3,S,832.37,0
725,ATVI,Activision Blizzard Inc,2212,125000,M,2,S,40.45,0
726,AVGO,Broadcom Ltd,1213,386000,M,1,S,208.74,0
727,BBBY,Bed Bath & Beyond Inc,1114,667000,M,1,B,39.76,0
728,BIDU,Baidu Inc,2215,807000,M,2,S,173.88,0
729,BIIB,Biogen Inc,3216,549000,M,3,S,288.86,0
730,BMRN,Biomarin Pharmaceutical Inc,2117,429000,M,2,B,88.55,0
731,CA,CA Inc,2118,186000,M,2,B,31.03,0
732,CELG,Celgene Corp,3219,382000,M,3,S,119.46,0
733,CERN,Cerner Corp,3220,490000,M,3,S,58.01,50
734,CHKP,Check Point Software Technologies Ltd,1221,296000,M,1,S,98.04,0
735,CHTR,Charter Communications Inc,2222,333000,M,2,S,326.92,0
736,CMCSA,Comcast Corp,1123,555000,M,1,B,75.61,0
737,COST,Costco Wholesale Corp,2224,371000,M,2,S,161.85,100
738,CSCO,Cisco Systems Inc,2125,427000,M,2,B,37.59,100
739,CSX,CSX Corp,2126,623000,M,2,B,42.65,0
740,CTRP,Ctrip.Com International Ltd,1227,562000,M,1,S,52.96,0
741,CTSH,Cognizant Technology Solutions Corp,3228,905000,M,3,S,52.35,0
742,CTXS,Citrix Systems Inc,3129,299000,M,3,B,71.38,0
743,DISCA,Discovery Communications Inc,2230,380000,M,2,S,28.13,0
744,DISCK,Discovery Communications Inc,2131,981000,M,2,B,27.46,0
745,DISH,DISH Network Corp,2232,447000,M,2,S,61.22,50
746,DLTR,Dollar Tree Inc,1233,476000,M,1,S,76.58,0
747,EA,Electronic Arts,2234,818000,M,2,S,83.18,50
748,EBAY,eBay Inc,2235,904000,M,2,S,28.16,0
749,ESRX,Express Scripts Holding Co,3236,620000,M,3,S,69.13,50
750,EXPE,Expedia Inc,3137,925000,M,3,B,120.86,0
751,FAST,Fastenal Co,1138,300000,M,1,B,49.65,0
752,FB,Facebook,3139,123000,M,3,B,133.29,0
753,FISV,Fiserv Inc,3240,507000,M,3,S,105.58,0
754,FOX,21st Century Fox Class B,3141,742000,M,3,B,27.87,0
755,FOXA,21st Century Fox Class A,2142,352000,M,2,B,31.62,0
756,GILD,Gilead Sciences Inc,3143,217000,M,3,B,72.93,50
757,GOOG,Alphabet Class C,2244,133000,M,2,S,795.72,0
758,GOOGL,Alphabet Class A,3245,749000,M,3,S,815.37,0
759,HSIC,Henry Schein Inc,3146,578000,M,3,B,159.88,0
760,ILMN,Illumina Inc,1247,688000,M,1,S,161.81,0
761,INCY,Incyte Corp,1148,818000,M,1,B,124.44,100
762,INTC,Intel Corp,3149,870000,M,3,B,36.55,0
763,INTU,Intuit Inc,2250,574000,M,2,S,117.89,0
764,ISRG,Intuitive Surgical Inc,2151,559000,M,2,B,697.07,0
765,AAL,American Airlines Group Inc,2101,202000,M,2,B,43.89,0
766,AAPL,Apple Inc,2102,283000,M,2,B,120.85,0
767,ADBE,Adobe Systems Inc,3203,401000,M,3,S,113.49,0
768,ADI,Analog Devices Inc,2104,642000,M,2,B,76.21,0
769,ADP,Automatic Data Processing Inc,3205,434000,M,3,S,95.51,50
770,ADSK,Autodesk Inc,1106,280000,M,1,B,81.22,0
771,AKAM,Akamai Technologies Inc,3207,200000,M,3,S,68.7,0
772,ALXN,Alexion Pharmaceuticals Inc,2208,463000,M,2,S,132.21,0
773,AMAT,Applied Materials Inc,3209,200000,M,3,S,35.13,0
774,AMGN,Amgen Inc,2210,359000,M,2,S,160.03,50
775,AMZN,Amazon.com Inc,2111,301000,M,2,B,832.37,0
776,ATVI,Activision Blizzard Inc,1212,192000,M,1,S,40.46,0
777,AVGO,Broadcom Ltd,2213,483000,M,2,S,203.69,0
778,BBBY,Bed Bath & Beyond Inc,2214,633000,M,2,S,39.85,50
779,BIDU,Baidu Inc,2215,270000,M,2,S,173.92,50
780,BIIB,Biogen Inc,1216,713000,M,1,S,281.97,100
781,BMRN,Biomarin Pharmaceutical Inc,2117,220000,M,2,B,88.52,0
782,CA,CA Inc,3118,438000,M,3,B,31.08,100
783,CELG,Celgene Corp,3119,953000,M,3,B,117.24,0
784,CERN,Cerner Corp,3220,861000,M,3,S,58.09,0
785,CHKP,Check Point Software Technologies Ltd,2121,906000,M,2,B,97.95,100
786,CHTR,Charter Communications Inc,2222,513000,M,2,S,327.1,50
787,CMCSA,Comcast Corp,1123,694000,M,1,B,75.58,0
788,COST,Costco Wholesale Corp,1124,755000,M,1,B,168.82,0
789,CSCO,Cisco Systems Inc,2225,531000,M,2,S,37.76,50
790,CSX,CSX Corp,1126,407000,M,1,B,47.2,100
791,CTRP,Ctrip.Com International Ltd,2227,414000,M,2,S,42.96,0
792,CTSH,Cognizant Technology Solutions Corp,3128,234000,M,3,B,52.36,0
793,CTXS,Citrix Systems Inc,2229,258000,M,2,S,71.41,0
794,DISCA,Discovery Communications Inc,1230,643000,M,1,S,28.13,50
795,DISCK,Discovery Communications Inc,3131,709000,M,3,B,27.43,0
796,DISH,DISH Network Corp,3132,240000,M,3,B,66.14,0
797,DLTR,Dollar Tree Inc,3133,748000,M,3,B,76.52,0
798,EA,Electronic Arts,1134,197000,M,1,B,84.6,100
799,EBAY,eBay Inc,2135,919000,M,2,B,32.06,0
800,ESRX,Express Scripts Holding Co,1236,806000,M,1,S,70.06,0
801,EXPE,Expedia Inc,1137,675000,M,1,B,120.88,0
802,FAST,Fastenal Co,3138,102000,M,3,B,49.62,0
803,FB,Facebook,3139,507000,M,3,B,133.29,100
804,FISV,Fiserv Inc,3140,951000,M,3,B,105.44,100
805,FOX,21st Century Fox Class B,3141,719000,M,3,B,31.36,100
806,FOXA,21st Century Fox Class A,1242,218000,M,1,S,31.66,0
807,GILD,Gilead Sciences Inc,2143,330000,M,2,B,75.88,0
808,GOOG,Alphabet Class C,2244,948000,M,2,S,795.78,0
809,GOOGL,Alphabet Class A,2145,434000,M,2,B,815.2,0
810,HSIC,Henry Schein Inc,3146,671000,M,3,B,159.88,100
811,ILMN,Illumina Inc,2147,908000,M,2,B,161.59,100
812,INCY,Incyte Corp,2148,958000,M,2,B,134.43,0
813,INTC,Intel Corp,3249,946000,M,3,S,36.65,0
814,INTU,Intuit Inc,2250,141000,M,2,S,117.8,0
815,ISRG,Intuitive Surgical Inc,1151,716000,M,1,B,697.04,0
816,AAL,American Airlines Group Inc,2201,751000,M,2,S,44.01,0
817,AAPL,Apple Inc,2102,130000,M,2,B,128.87,0
818,ADBE,Adobe Systems Inc,3103,959000,M,3,B,113.52,0
819,ADI,Analog Devices Inc,3104,666000,M,3,B,76.21,0
820,ADP,Automatic Data Processing Inc,3205,888000,M,3,S,99.91,0
821,ADSK,Autodesk Inc,3106,388000,M,3,B,81.18,100
822,AKAM,Akamai Technologies Inc,2207,588000,M,2,S,68.86,0
823,ALXN,Alexion Pharmaceuticals Inc,1108,428000,M,1,B,132.19,0
824,AMAT,Applied Materials Inc,1209,413000,M,1,S,35.08,0
825,AMGN,Amgen Inc,1210,224000,M,1,S,160.45,50
826,AMZN,Amazon.com Inc,1111,194000,M,1,B,832.35,0
827,ATVI,Activision Blizzard Inc,3112,565000,M,3,B,40.35,0
828,AVGO,Broadcom Ltd,3213,252000,M,3,S,203.85,0
829,BBBY,Bed Bath & Beyond Inc,3114,603000,M,3,B,40.73,0
830,BIDU,Baidu Inc,3115,454000,M,3,B,172.88,50
831,BIIB,Biogen Inc,2116,232000,M,2,B,288.82,0
832,BMRN,Biomarin Pharmaceutical Inc,3117,370000,M,3,B,88.54,0
833,CA,CA Inc,2118,645000,M,2,B,38.11,100
834,CELG,Celgene Corp,3119,827000,M,3,B,117.21,0
835,CERN,Cerner Corp,3120,879000,M,3,B,54.02,0
836,CHKP,Check Point Software Technologies Ltd,1221,717000,M,1,S,101.0,50
837,CHTR,Charter Communications Inc,2122,299000,M,2,B,321.89,0
838,CMCSA,Comcast Corp,3223,525000,M,3,S,75.72,50
839,COST,Costco Wholesale Corp,2124,207000,M,2,B,161.85,0
840,CSCO,Cisco Systems Inc,1125,360000,M,1,B,34.09,0
841,CSX,CSX Corp,1126,205000,M,1,B,38.22,0
842,CTRP,Ctrip.Com International Ltd,3127,625000,M,3,B,42.91,0
843,CTSH,Cognizant Technology Solutions Corp,1228,562000,M,1,S,52.5,0
844,CTXS,Citrix Systems Inc,2129,645000,M,2,B,71.4,0
845,DISCA,Discovery Communications Inc,1230,307000,M,1,S,32.6,0
846,DISCK,Discovery Communications Inc,2131,749000,M,2,B,27.44,0
847,DISH,DISH Network Corp,1232,805000,M,1,S,61.21,0
848,DLTR,Dollar Tree Inc,3133,151000,M,3,B,76.48,0
849,EA,Electronic Arts,1134,970000,M,1,B,86.07,0
850,EBAY,eBay Inc,1235,372000,M,1,S,32.1,0
851,ESRX,Express Scripts Holding Co,2136,748000,M,2,B,69.01,100
852,EXPE,Expedia Inc,1137,442000,M,1,B,120.86,50
853,FAST,Fastenal Co,3138,954000,M,3,B,49.58,0
854,FB,Facebook,2139,886000,M,2,B,133.24,0
855,FISV,Fiserv Inc,2140,498000,M,2,B,99.45,0
856,FOX,21st Century Fox Class B,2141,868000,M,2,B,24.36,0
857,FOXA,21st Century Fox Class A,2242,339000,M,2,S,31.76,50
858,GILD,Gilead Sciences Inc,3143,664000,M,3,B,72.89,0
859,GOOG,Alphabet Class C,2244,654000,M,2,S,795.74,0
860,GOOGL,Alphabet Class A,2245,459000,M,2,S,815.29,0
861,HSIC,Henry Schein Inc,1246,820000,M,1,S,160.86,0
862,ILMN,Illumina Inc,1247,662000,M,1,S,163.73,0
863,INCY,Incyte Corp,1148,269000,M,1,B,124.43,0
864,INTC,Intel Corp,3149,597000,M,3,B,36.55,0
865,INTU,Intuit Inc,3150,127000,M,3,B,117.7,0
866,ISRG,Intuitive Surgical Inc,3251,800000,M,3,S,697.13,100
867,AAL,American Airlines Group Inc,2201,683000,M,2,S,44.0,0
868,AAPL,Apple Inc,2102,684000,M,2,B,128.86,0
869,ADBE,Adobe Systems Inc,1203,362000,M,1,S,113.76,0
870,ADI,Analog Devices Inc,3204,849000,M,3,S,76.4,0
871,ADP,Automatic Data Processing Inc,3105,482000,M,3,B,95.43,50
872,ADSK,Autodesk Inc,3206,969000,M,3,S,81.4,0
873,AKAM,Akamai Technologies Inc,2207,810000,M,2,S,68.79,50
874,ALXN,Alexion Pharmaceuticals Inc,1108,371000,M,1,B,132.23,100
875,AMAT,Applied Materials Inc,2209,442000,M,2,S,35.25,0
876,AMGN,Amgen Inc,1210,747000,M,1,S,160.45,0
877,AMZN,Amazon.com Inc,3111,950000,M,3,B,832.32,0
878,ATVI,Activision Blizzard Inc,1212,220000,M,1,S,40.52,0
879,AVGO,Broadcom Ltd,1113,832000,M,1,B,203.68,50
880,BBBY,Bed Bath & Beyond Inc,3114,629000,M,3,B,39.7,0
881,BIDU,Baidu Inc,1115,354000,M,1,B,172.88,0
882,BIIB,Biogen Inc,1216,946000,M,1,S,281.87,100
883,BMRN,Biomarin Pharmaceutical Inc,1117,643000,M,1,B,88.59,100
884,CA,CA Inc,3218,344000,M,3,S,38.28,0
885,CELG,Celgene Corp,2219,699000,M,2,S,117.29,0
886,CERN,Cerner Corp,2220,577000,M,2,S,54.13,100
887,CHKP,Check Point Software Technologies Ltd,3221,294000,M,3,S,99.66,0
888,CHTR,Charter Communications Inc,1122,797000,M,1,B,326.89,0
889,CMCSA,Comcast Corp,3223,231000,M,3,S,78.59,100
890,COST,Costco Wholesale Corp,2124,646000,M,2,B,161.87,0
891,CSCO,Cisco Systems Inc,3125,913000,M,3,B,30.63,0
892,CSX,CSX Corp,2226,697000,M,2,S,47.43,0
893,CTRP,Ctrip.Com International Ltd,3127,977000,M,3,B,42.89,50
894,CTSH,Cognizant Technology Solutions Corp,3128,542000,M,3,B,52.4,0
895,CTXS,Citrix Systems Inc,2129,466000,M,2,B,71.43,0
896,DISCA,Discovery Communications Inc,1230,483000,M,1,S,28.02,0
897,DISCK,Discovery Communications Inc,2231,343000,M,2,S,27.63,0
898,DISH,DISH Network Corp,2132,825000,M,2,B,61.09,0
899,DLTR,Dollar Tree Inc,1133,191000,M,1,B,76.49,0
900,EA,Electronic Arts,3134,275000,M,3,B,83.08,0
901,EBAY,eBay Inc,1135,169000,M,1,B,32.0,0
902,ESRX,Express Scripts Holding Co,1136,795000,M,1,B,70.96,0
903,EXPE,Expedia Inc,1137,166000,M,1,B,117.88,0
904,FAST,Fastenal Co,2138,962000,M,2,B,49.55,0
905,FB,Facebook,2239,151000,M,2,S,133.26,50
906,FISV,Fiserv Inc,2240,170000,M,2,S,105.59,0
907,FOX,21st Century Fox Class B,2141,258000,M,2,B,31.37,50
908,FOXA,21st Century Fox Class A,3142,863000,M,3,B,27.68,0
909,GILD,Gilead Sciences Inc,3143,358000,M,3,B,72.93,0
910,GOOG,Alphabet Class C,1144,391000,M,1,B,795.73,0
911,GOOGL,Alphabet Class A,3145,325000,M,3,B,815.18,100
912,HSIC,Henry Schein Inc,3246,470000,M,3,S,159.89,0
913,ILMN,Illumina Inc,2147,228000,M,2,B,161.63,0
914,INCY,Incyte Corp,1148,429000,M,1,B,124.46,0
915,INTC,Intel Corp,2249,713000,M,2,S,36.69,100
916,INTU,Intuit Inc,2250,610000,M,2,S,117.85,0
917,ISRG,Intuitive Surgical Inc,1251,927000,M,1,S,694.2,0
918,AAL,American Airlines Group Inc,3101,337000,M,3,B,43.85,100
919,AAPL,Apple Inc,2202,203000,M,2,S,128.92,100
920,ADBE,Adobe Systems Inc,2103,252000,M,2,B,113.51,0
921,ADI,Analog Devices Inc,3104,989000,M,3,B,76.26,0
922,ADP,Automatic Data Processing Inc,3105,627000,M,3,B,99.9,0
923,ADSK,Autodesk Inc,1106,103000,M,1,B,81.22,0
924,AKAM,Akamai Technologies Inc,1107,906000,M,1,B,71.77,50
925,ALXN,Alexion Pharmaceuticals Inc,2208,998000,M,2,S,141.44,0
926,AMAT,Applied Materials Inc,2109,969000,M,2,B,35.13,0
927,AMGN,Amgen Inc,3110,412000,M,3,B,159.9,0
928,AMZN,Amazon.com Inc,3211,114000,M,3,S,832.39,50
929,ATVI,Activision Blizzard Inc,3212,905000,M,3,S,40.54,0
930,AVGO,Broadcom Ltd,1113,375000,M,1,B,208.66,50
931,BBBY,Bed Bath & Beyond Inc,3114,582000,M,3,B,39.71,0
932,BIDU,Baidu Inc,3215,694000,M,3,S,173.85,0
933,BIIB,Biogen Inc,3216,922000,M,3,S,288.99,0
934,BMRN,Biomarin Pharmaceutical Inc,1117,591000,M,1,B,88.59,0
935,CA,CA Inc,2118,916000,M,2,B,31.13,0
936,CELG,Celgene Corp,1219,905000,M,1,S,117.33,100
937,CERN,Cerner Corp,2220,119000,M,2,S,62.07,0
938,CHKP,Check Point Software Technologies Ltd,1221,808000,M,1,S,98.11,0
939,CHTR,Charter Communications Inc,3222,202000,M,3,S,327.06,0
940,CMCSA,Comcast Corp,3223,362000,M,3,S,81.79,100
941,COST,Costco Wholesale Corp,2124,383000,M,2,B,161.82,0
942,CSCO,Cisco Systems Inc,2225,731000,M,2,S,30.83,0
943,CSX,CSX Corp,3226,886000,M,3,S,47.41,0
944,CTRP,Ctrip.Com International Ltd,3127,378000,M,3,B,47.85,50
945,CTSH,Cognizant Technology Solutions Corp,3128,614000,M,3,B,52.44,0
946,CTXS,Citrix Systems Inc,2229,366000,M,2,S,71.54,0
947,DISCA,Discovery Communications Inc,2130,142000,M,2,B,27.93,100
948,DISCK,Discovery Communications Inc,3131,173000,M,3,B,27.44,0
949,DISH,DISH Network Corp,1132,777000,M,1,B,61.1,50
950,DLTR,Dollar Tree Inc,3133,844000,M,3,B,76.46,100
951,EA,Electronic Arts,2134,964000,M,2,B,83.07,0
952,EBAY,eBay Inc,3135,466000,M,3,B,32.03,0
953,ESRX,Express Scripts Holding Co,2236,858000,M,2,S,69.02,0
954,EXPE,Expedia Inc,1237,996000,M,1,S,120.98,100
955,FAST,Fastenal Co,1138,221000,M,1,B,49.55,0
956,FB,Facebook,3139,207000,M,3,B,133.2,0
957,FISV,Fiserv Inc,1140,588000,M,1,B,105.43,100
958,FOX,21st Century Fox Class B,3141,539000,M,3,B,27.86,0
959,FOXA,21st Century Fox Class A,3142,598000,M,3,B,31.69,0
960,GILD,Gilead Sciences Inc,2143,319000,M,2,B,72.89,0
961,GOOG,Alphabet Class C,1244,932000,M,1,S,795.85,0
962,GOOGL,Alphabet Class A,3245,943000,M,3,S,816.29,0
963,HSIC,Henry Schein Inc,1246,613000,M,1,S,159.81,0
964,ILMN,Illumina Inc,2147,184000,M,2,B,161.68,0
965,INCY,Incyte Corp,2248,450000,M,2,S,124.59,0
966,INTC,Intel Corp,3149,536000,M,3,B,31.48,0
967,INTU,Intuit Inc,3150,951000,M,3,B,117.66,0
968,ISRG,Intuitive Surgical Inc,3251,722000,M,3,S,697.11,0
969,AAL,American Airlines Group Inc,2101,879000,M,2,B,36.89,0
970,AAPL,Apple Inc,2102,312000,M,2,B,120.87,0
971,ADBE,Adobe Systems Inc,3103,337000,M,3,B,113.48,0
972,ADI,Analog Devices Inc,3104,403000,M,3,B,76.31,0
973,ADP,Automatic Data Processing Inc,3205,219000,M,3,S,95.51,0
974,ADSK,Autodesk Inc,3106,105000,M,3,B,81.25,0
975,AKAM,Akamai Technologies Inc,2107,808000,M,2,B,71.8,0
976,ALXN,Alexion Pharmaceuticals Inc,1108,120000,M,1,B,132.26,0
977,AMAT,Applied Materials Inc,1109,847000,M,1,B,35.1,0
978,AMGN,Amgen Inc,2110,442000,M,2,B,159.93,0
979,AMZN,Amazon.com Inc,3211,397000,M,3,S,829.37,0
980,ATVI,Activision Blizzard Inc,2112,862000,M,2,B,40.35,0
981,AVGO,Broadcom Ltd,1213,876000,M,1,S,208.77,0
982,BBBY,Bed Bath & Beyond Inc,2114,970000,M,2,B,39.76,0
983,BIDU,Baidu Inc,3215,109000,M,3,S,173.96,100
984,BIIB,Biogen Inc,1116,676000,M,1,B,281.81,0
985,BMRN,Biomarin Pharmaceutical Inc,1117,456000,M,1,B,88.62,0
986,CA,CA Inc,2218,685000,M,2,S,31.35,0
987,CELG,Celgene Corp,2119,251000,M,2,B,121.15,0
988,CERN,Cerner Corp,1220,129000,M,1,S,54.11,100
989,CHKP,Check Point Software Technologies Ltd,3121,631000,M,3,B,97.93,100
990,CHTR,Charter Communications Inc,1222,663000,M,1,S,327.01,50
991,CMCSA,Comcast Corp,3123,782000,M,3,B,81.61,0
992,COST,Costco Wholesale Corp,1124,934000,M,1,B,161.85,0
993,CSCO,Cisco Systems Inc,3125,529000,M,3,B,30.6,0
994,CSX,CSX Corp,3126,906000,M,3,B,47.22,0
995,CTRP,Ctrip.Com International Ltd,3227,568000,M,3,S,48.0,100
996,CTSH,Cognizant Technology Solutions Corp,1228,974000,M,1,S,52.6,50
997,CTXS,Citrix Systems Inc,2229,824000,M,2,S,71.55,100
998,DISCA,Discovery Communications Inc,2230,937000,M,2,S,37.08,100
999,DISCK,Discovery Communications Inc,1131,612000,M,1,B,27.49,0
1000,DISH,DISH Network Corp,2132,214000,M,2,B,66.11,50
1001,DLTR,Dollar Tree Inc,3233,845000,M,3,S,67.54,50
1002,EA,Electronic Arts,1234,406000,M,1,S,83.1,0
1003,EBAY,eBay Inc,3135,808000,M,3,B,32.02,0
1004,ESRX,Express Scripts Holding Co,1136,519000,M,1,B,68.96,0
1005,EXPE,Expedia Inc,2137,227000,M,2,B,114.87,0
1006,FAST,Fastenal Co,3138,720000,M,3,B,49.51,0
1007,FB,Facebook,3139,553000,M,3,B,133.21,0
1008,FISV,Fiserv Inc,3140,512000,M,3,B,99.47,100
1009,FOX,21st Century Fox Class B,1241,616000,M,1,S,31.47,0
1010,FOXA,21st Century Fox Class A,2142,504000,M,2,B,31.7,0
1011,GILD,Gilead Sciences Inc,3143,208000,M,3,B,72.87,100
1012,GOOG,Alphabet Class C,1244,855000,M,1,S,795.87,0
1013,GOOGL,Alphabet Class A,1145,986000,M,1,B,815.24,0
1014,HSIC,Henry Schein Inc,2246,185000,M,2,S,159.83,0
1015,ILMN,Illumina Inc,2147,828000,M,2,B,161.71,100
1016,INCY,Incyte Corp,2248,494000,M,2,S,124.49,0
1017,INTC,Intel Corp,2149,191000,M,2,B,36.43,100
1018,INTU,Intuit Inc,3150,399000,M,3,B,117.64,100
1019,ISRG,Intuitive Surgical Inc,3251,346000,M,3,S,696.98,0
1020,AAL,American Airlines Group Inc,2201,437000,M,2,S,44.0,0
1021,AAPL,Apple Inc,3102,459000,M,3,B,128.86,0
1022,ADBE,Adobe Systems Inc,1103,930000,M,1,B,113.48,0
1023,ADI,Analog Devices Inc,3104,463000,M,3,B,76.3,0
1024,ADP,Automatic Data Processing Inc,3105,168000,M,3,B,95.32,0
1025,ADSK,Autodesk Inc,2206,606000,M,2,S,81.41,0
1026,AKAM,Akamai Technologies Inc,3107,907000,M,3,B,68.75,0
1027,ALXN,Alexion Pharmaceuticals Inc,3108,628000,M,3,B,132.28,50
1028,AMAT,Applied Materials Inc,1209,489000,M,1,S,35.29,0
1029,AMGN,Amgen Inc,1110,760000,M,1,B,159.93,100
1030,AMZN,Amazon.com Inc,3211,514000,M,3,S,832.38,0
1031,ATVI,Activision Blizzard Inc,2112,201000,M,2,B,40.39,0
1032,AVGO,Broadcom Ltd,1113,708000,M,1,B,203.74,0
1033,BBBY,Bed Bath & Beyond Inc,2214,154000,M,2,S,39.96,0
1034,BIDU,Baidu Inc,2115,329000,M,2,B,171.88,0
1035,BIIB,Biogen Inc,3116,692000,M,3,B,281.83,0
1036,BMRN,Biomarin Pharmaceutical Inc,3117,234000,M,3,B,88.59,100
1037,CA,CA Inc,1218,196000,M,1,S,31.35,0
1038,CELG,Celgene Corp,3219,701000,M,3,S,117.19,0
1039,CERN,Cerner Corp,2220,182000,M,2,S,62.0,50
1040,CHKP,Check Point Software Technologies Ltd,3121,897000,M,3,B,100.9,0
1041,CHTR,Charter Communications Inc,2122,869000,M,2,B,321.88,0
1042,CMCSA,Comcast Corp,2223,838000,M,2,S,75.79,100
1043,COST,Costco Wholesale Corp,2224,107000,M,2,S,161.93,0
1044,CSCO,Cisco Systems Inc,3225,260000,M,3,S,30.61,50
1045,CSX,CSX Corp,2226,636000,M,2,S,47.39,0
1046,CTRP,Ctrip.Com International Ltd,1227,888000,M,1,S,52.99,0
1047,CTSH,Cognizant Technology Solutions Corp,1228,598000,M,1,S,49.01,50
1048,CTXS,Citrix Systems Inc,3129,411000,M,3,B,64.43,0
1049,DISCA,Discovery Communications Inc,3230,251000,M,3,S,37.07,0
1050,DISCK,Discovery Communications Inc,1131,135000,M,1,B,27.46,0
1051,DISH,DISH Network Corp,1232,199000,M,1,S,66.15,0
1052,DLTR,Dollar Tree Inc,3133,746000,M,3,B,72.03,0
1053,EA,Electronic Arts,1134,914000,M,1,B,83.03,100
1054,EBAY,eBay Inc,3135,838000,M,3,B,32.03,50
1055,ESRX,Express Scripts Holding Co,1236,958000,M,1,S,69.05,0
1056,EXPE,Expedia Inc,3137,927000,M,3,B,120.84,0
1057,FAST,Fastenal Co,1138,118000,M,1,B,49.56,0
1058,FB,Facebook,1239,537000,M,1,S,133.31,0
1059,FISV,Fiserv Inc,1240,109000,M,1,S,99.47,100
1060,FOX,21st Century Fox Class B,3141,973000,M,3,B,31.36,0
1061,FOXA,21st Century Fox Class A,1142,720000,M,1,B,31.72,0
1062,GILD,Gilead Sciences Inc,3143,441000,M,3,B,78.87,100
1063,GOOG,Alphabet Class C,1144,732000,M,1,B,795.78,0
1064,GOOGL,Alphabet Class A,2145,426000,M,2,B,815.29,0
1065,HSIC,Henry Schein Inc,2246,593000,M,2,S,159.87,100
1066,ILMN,Illumina Inc,1247,445000,M,1,S,163.85,0
1067,INCY,Incyte Corp,1148,982000,M,1,B,124.41,0
1068,INTC,Intel Corp,2249,530000,M,2,S,31.61,0
1069,INTU,Intuit Inc,1250,700000,M,1,S,124.8,0
1070,ISRG,Intuitive Surgical Inc,2251,636000,M,2,S,697.13,0
1071,AAL,American Airlines Group Inc,3101,531000,M,3,B,43.93,0
1072,AAPL,Apple Inc,1202,346000,M,1,S,129.02,0
1073,ADBE,Adobe Systems Inc,2203,921000,M,2,S,113.54,0
1074,ADI,Analog Devices Inc,2204,958000,M,2,S,76.32,50
1075,ADP,Automatic Data Processing Inc,1205,465000,M,1,S,95.4,0
1076,ADSK,Autodesk Inc,3206,670000,M,3,S,81.36,100
1077,AKAM,Akamai Technologies Inc,2107,443000,M,2,B,68.75,0
1078,ALXN,Alexion Pharmaceuticals Inc,3108,792000,M,3,B,136.78,0
1079,AMAT,Applied Materials Inc,1209,240000,M,1,S,35.13,100
1080,AMGN,Amgen Inc,3110,737000,M,3,B,160.91,0
1081,AMZN,Amazon.com Inc,2111,512000,M,2,B,832.29,0
1082,ATVI,Activision Blizzard Inc,3112,956000,M,3,B,40.38,0
1083,AVGO,Broadcom Ltd,3213,151000,M,3,S,203.73,50
1084,BBBY,Bed Bath & Beyond Inc,1114,747000,M,1,B,39.78,0
1085,BIDU,Baidu Inc,2115,558000,M,2,B,173.88,0
1086,BIIB,Biogen Inc,3216,322000,M,3,S,282.05,0
1087,BMRN,Biomarin Pharmaceutical Inc,3117,555000,M,3,B,88.57,0
1088,CA,CA Inc,2118,394000,M,2,B,31.13,50
1089,CELG,Celgene Corp,1119,587000,M,1,B,117.16,0
1090,CERN,Cerner Corp,3120,532000,M,3,B,58.03,0
1091,CHKP,Check Point Software Technologies Ltd,2221,726000,M,2,S,98.04,0
1092,CHTR,Charter Communications Inc,1222,631000,M,1,S,326.97,100
1093,CMCSA,Comcast Corp,2223,388000,M,2,S,81.69,100
1094,COST,Costco Wholesale Corp,2124,595000,M,2,B,161.86,100
1095,CSCO,Cisco Systems Inc,1125,123000,M,1,B,34.1,0
1096,CSX,CSX Corp,2126,632000,M,2,B,47.2,100
1097,CTRP,Ctrip.Com International Ltd,3227,837000,M,3,S,43.03,0
1098,CTSH,Cognizant Technology Solutions Corp,1128,106000,M,1,B,49.0,0
1099,CTXS,Citrix Systems Inc,1229,963000,M,1,S,71.57,100
1100,DISCA,Discovery Communications Inc,1130,155000,M,1,B,27.87,0
1101,DISCK,Discovery Communications Inc,1131,489000,M,1,B,27.49,0
1102,DISH,DISH Network Corp,3132,182000,M,3,B,61.14,0
1103,DLTR,Dollar Tree Inc,2133,704000,M,2,B,76.5,0
